70436,22,0.394838,0.000000,12
98412,23,0.550634,0.000000,15
11718,17,0.061557,0.000000,13
134664,25,0.740138,0.000000,17
5209,16,0.025624,0.000000,10
59830,22,0.318725,0.000000,12
71614,22,0.397784,0.000000,14
42704,21,0.224724,0.000000,11
10486,17,0.059139,0.000000,7
55230,21,0.304607,0.000000,13
86288,23,0.470120,0.000000,15
87902,23,0.480980,0.000000,11
24271,19,0.133809,0.000000,13
67445,22,0.373953,0.000000,14
21294,19,0.108292,0.000000,13
67976,22,0.362053,0.000000,10
30932,20,0.166553,0.000000,10
51926,21,0.285779,0.000000,19
74010,22,0.411087,0.000000,18
57200,22,0.303989,0.000000,16
6175,16,0.038690,0.000000,14
4890,16,0.024625,0.000000,10
128087,25,0.696072,0.000000,15
59140,22,0.317406,0.000000,14
86044,23,0.470801,0.000000,13
124428,25,0.674421,0.000000,15
55828,21,0.310492,0.000000,15
1904,13,0.016240,0.000000,7
89286,23,0.483426,0.000000,13
96167,24,0.520963,0.000000,16
108997,24,0.597460,0.000000,14
6800,16,0.038877,0.000000,12
12237,18,0.060926,0.000000,16
91221,23,0.497821,0.000000,13
146642,26,0.810316,0.000000,14
166169,27,0.912803,0.000000,17
61999,22,0.332203,0.000000,14
149038,26,0.821542,0.000000,14
66394,22,0.358249,0.000000,12
134964,25,0.743925,0.000000,13
3528,14,0.018408,0.000000,8
141058,25,0.786105,0.000000,19
51334,21,0.278246,0.000000,11
147235,26,0.807870,0.000000,16
96629,24,0.522284,0.000000,14
117820,24,0.653268,0.000000,20
12721,18,0.066497,0.000000,14
82402,23,0.442102,0.000000,15
55950,21,0.304308,0.000000,11
170358,28,0.930683,0.000000,16
41346,20,0.223181,0.000000,12
163708,27,0.898717,0.000000,15
25948,19,0.142461,0.000000,11
146431,26,0.810408,0.000000,16
16644,18,0.092572,0.000000,12
113398,24,0.626696,0.000000,16
12763,18,0.072163,0.000000,8
102477,24,0.570835,0.000000,12
91593,23,0.500452,0.000000,17
116022,24,0.648734,0.000000,16
170975,27,0.940995,0.000000,19
132375,25,0.725796,0.000000,13
43631,21,0.227782,0.000000,15
61343,22,0.333913,0.000000,18
173107,28,0.947646,0.000000,14
37323,20,0.206928,0.000000,16
166627,27,0.915656,0.000000,17
165544,27,0.910312,0.000000,15
136365,25,0.751829,0.000000,19
101428,24,0.553175,0.000000,10
99337,24,0.539830,0.000000,16
69657,22,0.383104,0.000000,16
169153,27,0.931860,0.000000,15
146614,26,0.803553,0.000000,18
136769,25,0.757731,0.000000,11
144168,26,0.789756,0.000000,20
32178,20,0.174812,0.000000,14
149505,26,0.819987,0.000000,16
6810,16,0.036161,0.000000,10
165286,27,0.900405,0.000000,17
20088,19,0.107203,0.000000,11
134133,25,0.729410,0.000000,21
3471,15,0.022769,0.000000,11
9452,17,0.048319,0.000000,13
4001,15,0.020105,0.000000,7
134421,25,0.732672,0.000000,17
10951,17,0.063657,0.000000,11
165164,27,0.904021,0.000000,17
32194,20,0.173838,0.000000,8
37083,20,0.202011,0.000000,12
163614,27,0.890263,0.000000,21
145000,26,0.792882,0.000000,18
68791,22,0.374129,0.000000,12
69185,22,0.384708,0.000000,14
66051,22,0.361347,0.000000,12
25603,19,0.140832,0.000000,17
30499,20,0.158693,0.000000,8
45472,21,0.237975,0.000000,9
106698,24,0.587997,0.000000,14
130566,25,0.718335,0.000000,13
